x,y,source
14.269397,2.9529517,natural
7.336634,-1.5102946,natural
2.6562872,-0.8343371,natural
1.8932161,-0.19645339,natural
3.8111005,-0.66450465,natural
3.079587,-3.771183,natural
12.069243,4.126738,natural
12.475063,0.6357064,natural
5.1420956,-2.423019,natural
12.821788,5.486825,natural
7.1458335,-1.835351,natural
15.475811,1.2515523,natural
13.029699,1.7996399,natural
6.549396,-1.4464468,natural
11.382486,0.39703438,natural
12.3981695,3.7117083,natural
8.031906,-1.3509673,natural
10.697211,0.04635381,natural
13.568015,4.2725825,natural
2.8712723,-4.585805,natural
4.9715843,-2.1849174,natural
12.762774,3.0090804,natural
15.166448,-1.8582478,natural
5.2583447,-2.848045,natural
13.409423,-0.14675643,natural
14.523869,3.510073,natural
3.3717256,0.16242181,natural
12.119052,4.0728264,natural
4.3986406,-4.28321,natural
13.983091,4.607685,natural
2.7088888,-0.44033736,natural
11.100312,0.35611403,natural
12.195874,-0.32494855,natural
12.753902,3.429671,natural
2.1414516,-0.0976524,natural
2.0224383,0.25759414,natural
3.7113078,-4.230725,natural
6.025235,-1.6551875,natural
14.074918,1.7780768,natural
5.9756985,-2.0953183,natural
9.601846,3.5859916,natural
4.154068,-2.9958932,natural
5.5364594,-1.58589,natural
13.770014,3.1702173,natural
9.306994,1.5843087,natural
9.680862,6.6316886,natural
13.59659,4.4591594,natural
15.106456,0.11161522,natural
7.724545,-1.5888946,natural
11.309175,2.773334,natural
13.079049,-0.48209,natural
2.0466104,-3.3189485,natural
-3.211732,3.6188083,natural
15.513526,2.0117397,natural
-1.5782986,3.7222958,natural
2.6768653,-3.9693267,natural
6.307899,-2.8035588,natural
3.4158134,-3.2091322,natural
8.348017,5.811524,natural
10.905055,-0.006394527,natural
13.637671,1.7269268,natural
12.067767,2.704335,natural
11.192219,2.4154112,natural
6.293414,-1.7747118,natural
3.1201189,-0.5405214,natural
14.457092,2.658516,natural
15.563665,3.0545552,natural
13.899545,-0.33396733,natural
16.524076,3.4011059,natural
4.17911,-2.191461,natural
9.653914,6.687271,natural
10.733625,-0.02187979,natural
14.085104,2.0271478,natural
7.217267,-1.0560057,natural
5.7922063,-1.7064155,natural
15.2565975,3.226485,natural
15.019517,-2.5747635,natural
6.9771523,-2.367058,natural
15.000294,1.0522425,natural
8.383976,5.7632794,natural
1.3546956,-0.54188305,natural
1.4751987,-0.5265995,natural
4.2993746,-1.202737,natural
16.10954,2.533679,natural
14.77021,3.8970644,natural
7.6697383,-0.61538345,natural
13.85469,1.1749336,natural
5.863571,-2.7658446,natural
7.4615107,-2.3093092,natural
4.2184734,-2.3614864,natural
-3.4845858,3.9460032,natural
13.507554,4.4737444,natural
4.0970106,-2.8964267,natural
3.2068014,-0.17189264,natural
4.7208204,-3.2738967,natural
7.1054034,-1.2967467,natural
6.793618,-2.7891405,natural
5.6300325,-2.5495186,natural
7.463004,-1.1232687,natural
7.7932,-1.3234094,natural
14.98327,3.7079587,natural
6.1994247,-1.8273062,natural
-0.800934,3.8472362,natural
14.10579,2.47075,natural
12.476457,3.2129781,natural
14.271023,1.3110312,natural
15.250859,-1.9303813,natural
1.493316,-0.13824207,natural
14.65597,3.8228352,natural
10.934812,0.03254858,natural
-3.4036841,3.709046,natural
14.192767,3.6152656,natural
5.069607,-2.4715803,natural
-0.87033314,3.6009188,natural
4.271184,-2.8886395,natural
13.886544,1.2122356,natural
16.554737,2.4265182,natural
16.237072,3.9213324,natural
3.2633255,-3.004195,natural
12.4481125,3.4575837,natural
6.685718,-2.3037376,natural
14.961691,2.906515,natural
6.5715337,-2.9123025,natural
-3.5336716,2.927709,natural
16.029816,3.3547406,natural
4.7226014,-2.4143772,natural
9.68018,6.652381,natural
2.5894322,-2.930353,natural
1.9066416,-0.99663794,natural
-1.929389,3.6779914,natural
5.548092,-1.4842017,natural
10.612482,0.16946489,natural
13.102857,-0.4746653,natural
6.0921707,-1.4981648,natural
7.0012574,-2.4031074,natural
12.271261,0.8975529,natural
2.0691886,-2.0067656,natural
14.302271,5.440278,natural
15.130137,1.3615911,natural
8.872433,-0.826998,natural
9.904715,2.1996431,natural
-3.940637,4.376772,natural
2.922049,-4.0719614,natural
2.6221073,-0.8204544,natural
12.832556,0.18593301,natural
15.405803,2.5708668,natural
5.0059443,-2.30404,natural
14.614633,4.3236017,natural
4.0568476,-2.896139,natural
7.628661,-1.664993,natural
16.24899,3.5116398,natural
7.015833,6.6441846,natural
13.434801,4.0925903,natural
6.640575,-1.3206224,natural
10.559703,4.1908736,natural
5.2776384,-4.6688437,natural
7.1340666,-0.9668355,natural
5.8604097,-2.693259,natural
10.743732,2.1867607,natural
14.879571,2.6175823,natural
10.686901,4.126591,natural
4.575221,-2.0501764,natural
14.728835,2.6291695,natural
10.563314,4.11354,natural
11.14537,0.21584523,natural
13.601725,-2.9176188,natural
14.604771,2.8109887,natural
4.6102815,-2.115792,natural
4.2746143,-2.0328705,natural
14.700429,1.3076047,natural
14.446053,0.9887214,natural
7.018072,-1.6802559,natural
10.546234,1.7350459,natural
5.588292,-2.2465086,natural
11.455008,7.766438,natural
13.3423195,2.896291,natural
-3.683649,2.798611,natural
3.620815,-3.3512154,natural
4.19243,-2.3592288,natural
15.53347,2.4197984,natural
12.61236,3.9223998,natural
16.02886,4.144001,natural
11.859452,4.031966,natural
6.2128224,-0.8539643,natural
5.038742,-2.3015883,natural
15.764206,1.1924312,natural
6.893978,-2.5720994,natural
11.121778,4.7298703,natural
14.277781,3.455622,natural
6.0209494,-1.3486617,natural
15.063498,4.087614,natural
13.705523,1.7887863,natural
9.944776,2.1746137,natural
15.076413,4.254456,natural
4.917953,-1.3759922,natural
16.976553,0.08011475,natural
13.711663,-1.9449841,natural
14.183564,2.17353,natural
-2.2558322,3.9429886,natural
2.6197252,-1.7114171,natural
9.762309,3.5933592,natural
6.41922,-1.921891,natural
15.399719,4.9239526,natural
1.6168201,-0.72210944,natural
1.9798151,0.23725496,natural
7.713292,-1.527528,natural
9.608073,5.0784183,natural
13.860628,5.6974783,natural
5.209709,-4.27261,natural
13.337465,-0.27821845,natural
3.2599363,-4.436533,natural
11.989128,4.092419,natural
11.067088,0.19529429,natural
1.8280189,-0.13198474,natural
14.564732,0.9266375,natural
6.462761,-2.6226048,natural
15.393594,2.123044,natural
15.001095,1.5375736,natural
5.3187485,-4.745417,natural
3.2619123,-1.181997,natural
15.001591,0.12342132,natural
14.90755,2.4743843,natural
14.236675,3.1841316,natural
3.3436525,-4.9220076,natural
6.8559246,6.7980933,natural
15.542837,2.3036754,natural
14.583977,2.5198307,natural
14.951599,4.3365316,natural
5.9147162,-2.2690527,natural
11.871522,3.0852923,natural
7.492335,-1.7259837,natural
-3.5195897,3.9168022,natural
15.059095,0.14634116,natural
15.170765,2.3354483,natural
0.8744918,-3.1053452,natural
5.7634716,-1.5490892,natural
14.304067,5.416873,natural
10.1313925,1.227365,natural
13.11605,3.6634228,natural
16.904268,3.1913874,natural
13.285796,3.6006584,natural
16.856447,3.6436255,natural
5.0625625,-2.179479,natural
3.1114128,-0.41243246,natural
17.1576,4.1472864,natural
4.0024734,-0.53825724,natural
7.171969,-1.6237512,natural
13.631879,1.8407125,natural
15.10674,-1.7880927,natural
15.092886,3.6087646,natural
11.934318,3.4966428,natural
11.130604,0.62253195,natural
14.435971,3.142101,natural
14.101744,4.7084103,natural
13.562564,1.798905,natural
-3.861834,4.3108826,natural
3.401569,-0.3041931,natural
7.0456395,6.620003,natural
0.7392912,7.7954054,natural
12.791109,4.124705,natural
9.720758,6.5860243,natural
1.852849,-2.8186555,natural
7.5600014,-2.0707154,natural
9.637607,5.073572,natural
9.678559,6.6511626,natural
15.850602,2.3089135,natural
7.1090026,-1.3033185,natural
6.645697,-1.816857,natural
10.377765,-1.0604688,natural
16.115362,3.451517,natural
4.7570515,-2.9832995,natural
12.387509,3.4435139,natural
13.202212,2.5100157,natural
4.7293887,-2.0443497,natural
14.107097,5.138475,natural
-0.94263506,3.5906067,natural
5.280205,-3.913182,natural
8.021195,-1.0960693,natural
5.7915354,-1.4514375,natural
15.17105,0.93412614,natural
14.79229,4.0107045,natural
7.7195473,-1.0660702,natural
2.3687742,-0.74718803,natural
14.81577,3.4652648,natural
14.35613,2.069313,natural
4.0396056,-4.325033,natural
13.984066,2.0205843,natural
5.6229625,-2.629959,natural
6.0347743,-2.6078072,natural
11.224315,2.903417,natural
16.093128,2.096995,natural
10.354958,-1.0557323,natural
6.514104,-3.436062,natural
4.1581454,-1.1633451,natural
14.1048765,3.2398043,natural
6.587745,-2.7139173,natural
13.016352,0.82606494,natural
8.714725,2.855103,natural
11.208341,4.284021,natural
14.892387,3.4785285,natural
9.595641,5.0807624,natural
9.339365,1.5806901,natural
1.5076495,-0.10757625,natural
5.7657027,-2.639157,natural
13.542723,0.3479525,natural
4.505766,-4.204649,natural
5.555355,-3.2705302,natural
14.684046,2.9589825,natural
15.78319,2.7601576,natural
